,Open Price,High Price,Low Price,Last Price,Intra day range ,overnight,Volume,Volatility 30 Day,Price Change 1 Day Percent
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,Intra day range ,overnight,PX_VOLUME,VOLATILITY_30D,CHG_PCT_1D
11/20/1928,23.57,23.57,23.57,23.57,0,0,#N/A N/A,12.17,-0.49
11/21/1928,23.22,23.22,23.22,23.22,0,0,#N/A N/A,11.99,0.71
11/22/1928,23.52,23.52,23.52,23.52,0,0,#N/A N/A,12.24,1.29
11/23/1928,23.7,23.7,23.7,23.7,0,0,#N/A N/A,12.09,0.31
11/26/1928,23.8,23.8,23.8,23.8,0,0,#N/A N/A,12.12,0
11/27/1928,23.91,23.91,23.91,23.91,0,0,#N/A N/A,12.05,0.52
11/28/1928,24.19,24.19,24.19,24.19,0,0,#N/A N/A,12.26,1.48
11/30/1928,24.28,24.28,24.28,24.28,0,0,#N/A N/A,12.32,0
12/3/1928,23.85,23.85,23.85,23.85,0,0,#N/A N/A,12.21,0.86
12/4/1928,23.91,23.91,23.91,23.91,0,0,#N/A N/A,13.48,-1.48
12/5/1928,23.81,23.81,23.81,23.81,0,0,#N/A N/A,13.79,1.29
12/6/1928,22.91,22.91,22.91,22.91,0,0,#N/A N/A,13.61,0.77
12/7/1928,22.36,22.36,22.36,22.36,0,0,#N/A N/A,13.61,0.42
12/10/1928,22.31,22.31,22.31,22.31,0,0,#N/A N/A,13.62,0.46
12/11/1928,22.74,22.74,22.74,22.74,0,0,#N/A N/A,13.85,1.17
12/12/1928,22.52,22.52,22.52,22.52,0,0,#N/A N/A,14.1,#N/A N/A
12/13/1928,22.48,22.48,22.48,22.48,0,0,#N/A N/A,13.69,0.37
12/14/1928,22.53,22.53,22.53,22.53,0,0,#N/A N/A,15.24,-1.77
12/17/1928,22.44,22.44,22.44,22.44,0,0,#N/A N/A,15.24,0.25
12/18/1928,22.7,22.7,22.7,22.7,0,0,#N/A N/A,15.26,-0.42
12/19/1928,22.98,22.98,22.98,22.98,0,0,#N/A N/A,19.52,-3.78
12/20/1928,23.07,23.07,23.07,23.07,0,0,#N/A N/A,20.62,-2.4
12/21/1928,23.33,23.33,23.33,23.33,0,0,#N/A N/A,20.31,-0.22
12/24/1928,23.54,23.54,23.54,23.54,0,0,#N/A N/A,21.01,1.93
12/26/1928,23.44,23.44,23.44,23.44,0,0,#N/A N/A,20.9,-0.97
12/27/1928,23.64,23.64,23.64,23.64,0,0,#N/A N/A,20.9,-0.18
12/28/1928,23.98,23.98,23.98,23.98,0,0,#N/A N/A,20.53,0.22
12/31/1928,24.35,24.35,24.35,24.35,0,0,#N/A N/A,20.26,-0.4
1/2/1929,24.81,24.81,24.81,24.81,0,0,#N/A N/A,20.51,1.16
1/3/1929,24.86,24.86,24.86,24.86,0,0,#N/A N/A,20.44,1.23
1/4/1929,24.85,24.85,24.85,24.85,0,0,#N/A N/A,20.37,0.39
1/7/1929,24.25,24.25,24.25,24.25,0,0,#N/A N/A,20.29,1.13
1/8/1929,24.17,24.17,24.17,24.17,0,0,#N/A N/A,20.43,0.9
1/9/1929,24.54,24.54,24.54,24.54,0,0,#N/A N/A,20.82,#N/A N/A
1/10/1929,24.58,24.58,24.58,24.58,0,0,#N/A N/A,20.83,-0.42
1/11/1929,24.54,24.54,24.54,24.54,0,0,#N/A N/A,20.5,0.85
1/14/1929,24.59,24.59,24.59,24.59,0,0,#N/A N/A,20.95,1.44
1/15/1929,24.23,24.23,24.23,24.23,0,0,#N/A N/A,21.3,1.54
1/16/1929,24.56,24.56,24.56,24.56,0,0,#N/A N/A,21.06,#N/A N/A
1/17/1929,24.69,24.69,24.69,24.69,0,0,#N/A N/A,21.46,1.89
1/18/1929,24.77,24.77,24.77,24.77,0,0,#N/A N/A,21.38,0.2
1/21/1929,24.86,24.86,24.86,24.86,0,0,#N/A N/A,21.37,-0.04
1/22/1929,25.07,25.07,25.07,25.07,0,0,#N/A N/A,22.88,-2.41
1/23/1929,25.22,25.22,25.22,25.22,0,0,#N/A N/A,22.61,-0.33
1/24/1929,25.06,25.06,25.06,25.06,0,0,#N/A N/A,23.09,1.53
1/25/1929,25.48,25.48,25.48,25.48,0,0,#N/A N/A,22.65,0.16
1/28/1929,25.35,25.35,25.35,25.35,0,0,#N/A N/A,21.88,-0.16
1/29/1929,25.36,25.36,25.36,25.36,0,0,#N/A N/A,21.88,0.2
1/30/1929,25.45,25.45,25.45,25.45,0,0,#N/A N/A,22.37,-1.46
1/31/1929,25.74,25.74,25.74,25.74,0,0,#N/A N/A,18.8,1.36
2/1/1929,25.84,25.84,25.84,25.84,0,0,#N/A N/A,16.7,0.53
2/4/1929,25.64,25.64,25.64,25.64,0,0,#N/A N/A,16.59,0.32
2/5/1929,25.7,25.7,25.7,25.7,0,0,#N/A N/A,15.85,0.36
2/6/1929,25.49,25.49,25.49,25.49,0,0,#N/A N/A,15.35,0.84
2/7/1929,24.71,24.71,24.71,24.71,0,0,#N/A N/A,15.25,0.6
2/8/1929,24.44,24.44,24.44,24.44,0,0,#N/A N/A,15.59,-0.63
2/11/1929,24.98,24.98,24.98,24.98,0,0,#N/A N/A,15.85,1.68
2/13/1929,24.95,24.95,24.95,24.95,0,0,#N/A N/A,15.98,-0.51
2/14/1929,24.85,24.85,24.85,24.85,0,0,#N/A N/A,15.79,0.04
2/15/1929,24.35,24.35,24.35,24.35,0,0,#N/A N/A,15.79,0.35
2/18/1929,24.39,24.39,24.39,24.39,0,0,#N/A N/A,15.8,1.14
2/19/1929,24.38,24.38,24.38,24.38,0,0,#N/A N/A,15.71,0.39
2/20/1929,24.59,24.59,24.59,24.59,0,0,#N/A N/A,15.92,-0.77
2/21/1929,24.86,24.86,24.86,24.86,0,0,#N/A N/A,15.62,0.23
2/25/1929,24.91,24.91,24.91,24.91,0,0,#N/A N/A,15.91,-0.82
2/26/1929,24.95,24.95,24.95,24.95,0,0,#N/A N/A,18.52,-3.06
2/27/1929,25.25,25.25,25.25,25.25,0,0,#N/A N/A,18.31,-1.09
2/28/1929,25.59,25.59,25.59,25.59,0,0,#N/A N/A,18.63,2.21
3/1/1929,25.83,25.83,25.83,25.83,0,0,#N/A N/A,18.63,#N/A N/A
3/4/1929,25.49,25.49,25.49,25.49,0,0,#N/A N/A,18.63,-0.12
3/5/1929,25.32,25.32,25.32,25.32,0,0,#N/A N/A,18.67,-0.4
3/6/1929,24.92,24.92,24.92,24.92,0,0,#N/A N/A,18.19,-2.01
3/7/1929,25.15,25.15,25.15,25.15,0,0,#N/A N/A,18.16,0.16
3/8/1929,25.31,25.31,25.31,25.31,0,0,#N/A N/A,17.54,-0.04
3/11/1929,24.95,24.95,24.95,24.95,0,0,#N/A N/A,17.74,0.86
3/12/1929,24.97,24.97,24.97,24.97,0,0,#N/A N/A,18.04,1.1
3/13/1929,25.24,25.24,25.24,25.24,0,0,#N/A N/A,18.38,#N/A N/A
3/14/1929,25.73,25.73,25.73,25.73,0,0,#N/A N/A,17.72,0.2
3/15/1929,26.08,26.08,26.08,26.08,0,0,#N/A N/A,17.26,0.16
3/18/1929,26.04,26.04,26.04,26.04,0,0,#N/A N/A,17.56,1.2
3/19/1929,26.03,26.03,26.03,26.03,0,0,#N/A N/A,17.98,1.35
3/20/1929,26.02,26.02,26.02,26.02,0,0,#N/A N/A,18.14,0.94
